ags,year,pct_no_hauptschulabschluss
15085,2008,9.6
15085,2009,8.5
15085,2010,10.7
15085,2011,8.1
15085,2012,8.4
15085,2013,8.2
15085,2014,7.3
15085,2015,8.6
15085,2016,7.1
15085,2017,8
15085,2018,9.6
15085,2019,9.2
15085,2020,8.3
15085,2021,8.2
15085,2022,9.4
15085,2023,11.7
15085,2024,12.2
15086,2007,9.6
15086,2008,11.8
15086,2009,11.6
15086,2010,12.8
15086,2011,14.3
15086,2012,11.9
15086,2013,12.4
15086,2014,10.4
15086,2015,10.8
15086,2016,11.8
15086,2017,14
15086,2018,13
15086,2019,12.1
15086,2020,11.7
15086,2021,10.2
15086,2022,11.5
15086,2023,11.5
15086,2024,14.3
15087,2007,9.7
15087,2008,11.3
15087,2009,14.8
15087,2010,11.7
15087,2011,15.6
15087,2012,16
15087,2013,15.9
15087,2014,14.4
15087,2015,17.3
15087,2016,10.6
15087,2017,11.7
15087,2018,12.8
15087,2019,13.1
15087,2020,10.7
15087,2021,8.2
15087,2022,14
15087,2023,14.9
15087,2024,14.8
15088,2007,7.4
15088,2008,11.2
15088,2009,9.6
15088,2010,12.3
15088,2011,9.6
15088,2012,10.2
15088,2013,10
15088,2014,7.4
15088,2015,8.7
15088,2016,8.5
15088,2017,8.7
15088,2018,8
15088,2019,7.8
15088,2020,6.9
15088,2021,6.9
15088,2022,8.6
15088,2023,9.2
15088,2024,9.8
15089,2007,10.1
15089,2008,11.4
15089,2009,11.7
15089,2010,16.4
15089,2011,13.3
15089,2012,12.7
15089,2013,10.5
15089,2014,11.9
15089,2015,10.4
15089,2016,10.9
15089,2017,10.9
15089,2018,12.1
15089,2019,12
15089,2020,9.2
15089,2021,9
15089,2022,10.8
15089,2023,11.1
15089,2024,14.2
15090,2006,11.4
15090,2007,7.8
15090,2008,10.9
15090,2009,13.3
15090,2010,14.6
15090,2011,13.8
15090,2012,13.1
15090,2013,11.6
15090,2014,12.8
15090,2015,9.7
15090,2016,11.1
15090,2017,10.3
15090,2018,14.9
15090,2019,13.8
15090,2020,13.6
15090,2021,11.5
15090,2022,15.2
15090,2023,13.6
15090,2024,17.9
15091,2007,5.9
15091,2008,6.8
15091,2009,9.1
15091,2010,8.7
15091,2011,9.4
15091,2012,9.8
15091,2013,9
15091,2014,11.7
15091,2015,8.8
15091,2016,8.6
15091,2017,10.7
15091,2018,10.9
15091,2019,9.6
15091,2020,11.4
15091,2021,10.2
15091,2022,10.8
15091,2023,14.8
15091,2024,15.3
15101,2006,10.2
15151,2006,12.3
15153,2006,12.9
15154,2006,11.8
15159,2006,10.2
15171,2006,7.6
15202,2006,13.3
15256,2006,12.2
15260,2006,14.4
15261,2006,9.8
15265,2006,9.4
15266,2006,7.5
15268,2006,12
15303,2006,11.5
15352,2006,13
15355,2006,10
15357,2006,8.8
15358,2006,10.1
15362,2006,10.2
15363,2006,11.4
15364,2006,7.7
15367,2006,10.6
15369,2006,9.4
15370,2006,13.1
16051,2006,8.8
16051,2007,8.5
16051,2008,7.5
16051,2009,7.7
16051,2010,9.6
16051,2011,8.7
16051,2012,8
16051,2013,9.3
16051,2014,7
16051,2015,9.1
16051,2016,7.8
16051,2017,11.8
16051,2018,11
16051,2019,9.5
16051,2020,7.8
16051,2021,9.5
16051,2022,8.3
16051,2023,7.4
16051,2024,6.8
16052,2006,8.3
16052,2007,8.6
16052,2008,7.3
16052,2009,12.1
16052,2010,10
16052,2011,11.9
16052,2012,9
16052,2013,9
16052,2014,6.3
16052,2015,8.8
16052,2016,9
16052,2017,9.4
16052,2018,13
16052,2019,13.8
16052,2020,10.2
16052,2021,12.2
16052,2022,13.8
16052,2023,12.6
16052,2024,14.3
16053,2006,4
16053,2007,4.3
16053,2008,3.1
16053,2009,4.8
16053,2010,5.3
16053,2011,4.3
16053,2012,3.4
16053,2013,5.3
16053,2014,4.7
16053,2015,4.1
16053,2016,5.9
16053,2017,3.1
16053,2018,5
16053,2019,4.8
16053,2020,5.4
16053,2021,3.3
16053,2022,5.3
16053,2023,4
16053,2024,4.6
16054,2006,14.7
16054,2007,10.2
16054,2008,8
16054,2009,9.7
16054,2010,10.9
16054,2011,11.3
16054,2012,6.1
16054,2013,8.9
16054,2014,10.7
16054,2015,4.5
16054,2016,10.4
16054,2017,8.7
16054,2018,7.8
16054,2019,11.4
16054,2020,5.9
16054,2021,11.7
16054,2022,11.4
16054,2023,14.4
16054,2024,15.6
16055,2006,13.7
16055,2007,7.3
16055,2008,6.7
16055,2009,7.5
16055,2010,10.3
16055,2011,11
16055,2012,6.4
16055,2013,7.8
16055,2014,4.4
16055,2015,6.9
16055,2016,6.4
16055,2017,9.3
16055,2018,9.7
16055,2019,8.5
16055,2020,6.8
16055,2021,6.1
16055,2022,7.3
16055,2023,8.4
16055,2024,6.3
16056,2006,10.5
16056,2007,9.3
16056,2008,10.3
16056,2009,10.2
16056,2010,12
16056,2011,10.9
16056,2012,11
16056,2013,11.5
16056,2014,11.7
16056,2015,8.5
16056,2016,7.6
16056,2017,16.7
16056,2018,16
16056,2019,10.7
16056,2020,11.7
16061,2006,6.4
16061,2007,5
16061,2008,2.5
16061,2009,4.7
16061,2010,5.1
16061,2011,5.5
16061,2012,5.9
16061,2013,6.2
16061,2014,5.2
16061,2015,6.1
16061,2016,5.5
16061,2017,6
16061,2018,5.1
16061,2019,6.9
16061,2020,4.6
16061,2021,5.4
16061,2022,6.5
16061,2023,5.9
16061,2024,6.6
16062,2006,11.7
16062,2007,10.2
16062,2008,9.1
16062,2009,10.1
16062,2010,13.1
16062,2011,12.5
16062,2012,10.7
16062,2013,11.7
16062,2014,7.2
16062,2015,7.1
16062,2016,9.2
16062,2017,8.6
16062,2018,11.3
16062,2019,11.6
