ags,year,hz
08325,2024,3594.7
08326,2020,3283.7
08326,2021,3074.1
08326,2022,3421.0
08326,2023,3673.4
08326,2024,3548.0
08327,2020,3280.6
08327,2021,2930.5
08327,2022,3395.7
08327,2023,3187.9
08327,2024,3190.6
08335,2020,5054.1
08335,2021,4978.8
08335,2022,5569.0
08335,2023,6099.8
08335,2024,6128.8
08336,2020,6288.5
08336,2021,6277.7
08336,2022,8476.5
08336,2023,12384.8
08336,2024,11020.5
08337,2020,3528.6
08337,2021,3666.3
08337,2022,3976.7
08337,2023,3928.9
08337,2024,4552.4
08415,2020,4438.8
08415,2021,3838.3
08415,2022,4478.4
08415,2023,4596.2
08415,2024,4516.6
08416,2020,3932.6
08416,2021,3452.1
08416,2022,3759.7
08416,2023,4095.7
08416,2024,3753.6
08417,2020,3090.9
08417,2021,3144.4
08417,2022,3657.9
08417,2023,3875.6
08417,2024,3469.0
08421,2020,7995.9
08421,2021,6423.8
08421,2022,7569.2
08421,2023,7919.1
08421,2024,9530.4
08425,2020,2871.0
08425,2021,2202.8
08425,2022,2586.0
08425,2023,2557.8
08425,2024,2988.1
08426,2020,3415.1
08426,2021,2749.6
08426,2022,3399.9
08426,2023,2955.7
08426,2024,3306.4
08435,2020,4678.8
08435,2021,3950.4
08435,2022,4743.6
08435,2023,4475.7
08435,2024,4236.3
08436,2020,4305.2
08436,2021,4046.0
08436,2022,4516.6
08436,2023,4363.9
08436,2024,4071.4
08437,2020,4611.4
08437,2021,4797.4
08437,2022,5528.9
08437,2023,5315.4
08437,2024,4541.3
09161,2020,6300.9
09161,2021,5913.8
09161,2022,6858.6
09161,2023,7931.7
09161,2024,7017.5
09162,2020,5986.8
09162,2021,5394.0
09162,2022,5824.3
09162,2023,6413.1
09162,2024,6304.3
09163,2020,6626.2
09163,2021,6452.2
09163,2022,8172.2
09163,2023,8592.8
09163,2024,7566.8
09171,2020,3670.3
09171,2021,3483.1
09171,2022,4103.8
09171,2023,4413.1
09171,2024,4119.7
09172,2020,8176.2
09172,2021,8203.9
09172,2022,12495.7
09172,2023,12500.6
09172,2024,11563.3
09173,2020,3580.4
09173,2021,3123.7
09173,2022,3329.5
09173,2023,3402.8
09173,2024,3323.1
09174,2020,2961.3
09174,2021,2701.8
09174,2022,2800.3
09174,2023,2998.4
09174,2024,3041.6
09175,2020,3042.1
09175,2021,3145.9
09175,2022,3249.1
09175,2023,3163.5
09175,2024,3134.7
09176,2020,2402.9
09176,2021,1985.4
09176,2022,2425.3
09176,2023,2458.9
09176,2024,2402.0
09177,2020,3704.5
09177,2021,3003.8
09177,2022,3502.3
09177,2023,3740.8
09177,2024,3771.5
09178,2020,5711.4
09178,2021,4067.4
09178,2022,5480.7
09178,2023,5959.9
09178,2024,6657.6
09179,2020,3389.3
09179,2021,3196.5
09179,2022,3505.8
09179,2023,3330.1
09179,2024,3307.3
09180,2020,4540.6
09180,2021,4012.3
09180,2022,4822.5
09180,2023,4922.3
09180,2024,4937.2
09181,2020,3935.9
09181,2021,3140.8
09181,2022,3331.8
09181,2023,3019.5
09181,2024,2820.6
09182,2020,3855.6
09182,2021,3783.1
09182,2022,4305.9
09182,2023,4355.4
09182,2024,3858.2
09183,2020,3708.4
09183,2021,3145.5
09183,2022,3307.7
09183,2023,4011.6
09183,2024,4268.4
09184,2020,3340.1
09184,2021,3002.7
09184,2022,3143.5
09184,2023,3326.9
09184,2024,3283.4
09185,2020,3056.4
09185,2021,2936.7
09185,2022,3491.3
09185,2023,3508.5
09185,2024,3275.8
09186,2020,3117.1
09186,2021,2801.1
09186,2022,2836.5
09186,2023,3040.5
09186,2024,3203.9
09187,2020,3925.7
09187,2021,3517.5
09187,2022,3823.2
09187,2023,4551.1
09187,2024,4315.2
09188,2020,3776.3
09188,2021,3239.9
09188,2022,3219.8
09188,2023,3158.1
09188,2024,2900.1
09189,2020,3174.5
09189,2021,2688.1
09189,2022,2861.9
09189,2023,3230.5
09189,2024,3522.8
09190,2020,3352.6
09190,2021,2954.4
09190,2022,3215.7
09190,2023,3192.3
09190,2024,3140.8
09261,2020,7103.8
09261,2021,6206.8
09261,2022,6869.4
09261,2023,7216.0
09261,2024,6987.1
09262,2020,8762.8
09262,2021,8821.9
09262,2022,11977.1
09262,2023,10399.4
09262,2024,9360.2
09263,2020,6775.3
09263,2021,6624.4
09263,2022,7015.1
09263,2023,7074.3
09263,2024,7032.2
09271,2020,4883.7
