ags,year,population
03255,2023,66088
03255,2024,65581
03255,2025,65271
05915,2018,179111
05915,2019,179916
05915,2020,178967
05915,2021,179238
05915,2022,179479
05915,2023,179380
05915,2024,179968
05915,2025,179108
08325,2018,139455
08325,2019,139878
08325,2020,140166
08325,2021,140446
08325,2022,139968
08325,2023,140344
08325,2024,140237
08325,2025,139724
05358,2018,263722
05358,2019,264638
05358,2020,265140
05358,2021,266771
05358,2022,276675
05358,2023,278462
05358,2024,279285
05358,2025,279492
01004,2018,79487
01004,2019,80196
01004,2020,79905
01004,2021,79496
01004,2022,78858
01004,2023,79461
01004,2024,79809
01004,2025,80145
05334002,2018,247380
05334002,2019,248960
05334002,2020,248878
05334002,2021,249070
05334002,2022,262886
05334002,2023,263772
05334002,2024,262670
05334002,2025,263703
09675,2018,90909
09675,2019,91155
09675,2020,91696
09675,2021,91980
09675,2022,90576
09675,2023,91197
09675,2024,91287
09675,2025,91471
08221,2018,160355
08221,2019,161485
08221,2020,158741
08221,2021,159245
08221,2022,154570
08221,2023,155175
08221,2024,155756
08221,2025,156092
08121,2018,125960
08121,2019,126592
08121,2020,126458
08121,2021,125613
08121,2022,129931
08121,2023,131653
08121,2024,131986
08121,2025,132516
09776,2018,81669
09776,2019,81981
09776,2020,82085
09776,2021,82330
09776,2022,81874
09776,2023,82224
09776,2024,82411
09776,2025,82399
08126,2018,112010
08126,2019,112655
08126,2020,112765
08126,2021,113318
08126,2022,114553
08126,2023,115335
08126,2024,115644
08126,2025,115601
06636,2018,101017
06636,2019,100629
06636,2020,100046
06636,2021,99714
06636,2022,98044
06636,2023,98055
06636,2024,97695
06636,2025,97433
05366,2018,192840
05366,2019,193656
05366,2020,194359
05366,2021,194701
05366,2022,199228
05366,2023,201841
05366,2024,202609
05366,2025,201636
09178,2018,179116
09178,2019,180007
09178,2020,180313
09178,2021,181144
09178,2022,181568
09178,2023,183535
09178,2024,184564
09178,2025,184399
03354,2018,48424
03354,2019,48412
03354,2020,48503
03354,2021,48472
03354,2022,46791
03354,2023,46815
03354,2024,46502
03354,2025,46471
01051,2018,133210
01051,2019,133193
01051,2020,133251
01051,2021,133969
01051,2022,133104
01051,2023,133514
01051,2024,133460
01051,2025,133405
09278,2018,100649
09278,2019,101120
09278,2020,101745
09278,2021,102398
09278,2022,102914
09278,2023,103329
09278,2024,103041
09278,2025,103104
05113,2018,583109
05113,2019,582760
05113,2020,582415
05113,2021,579432
05113,2022,572237
05113,2023,574082
05113,2024,574682
05113,2025,573618
08416,2018,227331
08416,2019,228678
08416,2020,228471
08416,2021,229806
08416,2022,230987
08416,2023,232897
08416,2024,233546
08416,2025,233593
09763,2018,68907
09763,2019,69151
