ags,year,divorces
03457,2022,157
03457,2023,69
03457,2024,141
07335,2018,53
07335,2019,50
07335,2020,56
07335,2021,57
07335,2022,65
07335,2023,55
07335,2024,48
03352,2018,199
03352,2019,112
03352,2020,124
03352,2021,113
03352,2022,95
03352,2023,101
03352,2024,108
09461,2018,31
09461,2019,19
09461,2020,19
09461,2021,53
09461,2022,24
09461,2023,26
09461,2024,65
07336,2018,18
07336,2019,18
07336,2020,41
07336,2021,30
07336,2022,51
07336,2023,27
07336,2024,16
03402,2018,32
03402,2019,40
03402,2020,49
03402,2021,45
03402,2022,47
03402,2023,34
03402,2024,22
07138,2018,202
07138,2019,94
07138,2020,217
07138,2021,179
07138,2022,210
07138,2023,184
07138,2024,167
09278,2018,46
09278,2019,45
09278,2020,44
09278,2021,41
