ags,year,persons
09571,2022,3129
09571,2024,2928
05512,2018,12289
05512,2020,11801
05512,2022,10912
05512,2024,11221
08128,2018,4249
08128,2020,4148
08128,2022,4401
08128,2024,4688
03356,2018,4834
03356,2020,4517
03356,2022,4978
03356,2024,4616
08226,2018,23633
08226,2020,23362
08226,2022,24786
08226,2024,25771
01057,2018,7258
01057,2020,6815
01057,2022,6664
01057,2024,7032
01003,2018,26201
01003,2020,24435
01003,2022,22841
01003,2024,22030
03103,2018,8448
03103,2020,8520
03103,2022,10151
03103,2024,10205
05958,2018,13034
05958,2020,12425
05958,2022,13147
05958,2024,13300
09780,2018,2541
09780,2020,2592
09780,2022,2676
09780,2024,2920
09362,2018,6855
09362,2020,6947
09362,2022,7615
09362,2024,7905
08235,2018,4913
08235,2020,4813
08235,2022,5618
08235,2024,6277
05974,2018,18206
05974,2020,17511
05974,2022,17643
05974,2024,18182
05113,2018,91619
05113,2020,87737
05113,2022,85358
05113,2024,87197
03401,2018,11416
03401,2020,10810
03401,2022,10039
03401,2024,9330
03351,2018,15085
03351,2020,13769
03351,2022,13495
03351,2024,12468
03155,2018,8940
03155,2020,8266
03155,2022,9049
03155,2024,8914
05382,2018,37671
05382,2020,35862
05382,2022,36025
05382,2024,36617
05562,2018,75604
05562,2020,71171
05562,2022,70192
05562,2024,67964
08115,2018,13744
08115,2020,13607
08115,2022,15555
08115,2024,16429
03458,2018,6122
03458,2020,5405
03458,2022,5777
03458,2024,5673
04012,2018,20500
04012,2020,19791
04012,2022,20643
04012,2024,20689
09179,2018,6891
09179,2020,6793
09179,2022,7155
09179,2024,6997
08311,2018,15616
08311,2020,15276
08311,2022,15194
08311,2024,14889
06635,2018,7995
06635,2020,6970
06635,2022,7579
06635,2024,7886
03462,2018,3348
03462,2020,3179
